Main group,Type,Water,water variability,Nutrients,Gradients,Organic,Structural,Pressure,Temperature,temp variability,Salinity,salinity variability,pH,Cobo-Simon habitat,WvS,CSadj
Aquatic,sediment_brackish,high,permanently wet,NA,high,NA,medium,low,NA,low,medium,wide,medium,NA,fresh_sediment,fresh_sediment
Aquatic,sediment_brackish_cold,high,permanently wet,NA,high,NA,medium,low,low,low,medium,wide,medium,NA,NA,NA
Host_associated,host,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,medium,host,NA,NA
Host_associated,host_fungus,high,permanently wet,high,high,high,high,low,NA,medium,low,small,NA,host,NA,NA
Host_associated,host_algae,high,permanently wet,high,high,high,high,low,NA,low,NA,NA,NA,host,NA,NA
Host_associated,host_animal,NA,NA,NA,NA,NA,NA,low,NA,low,NA,NA,NA,host,NA,NA
Host_associated,host_animal_ectotherm,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,small,medium,host,NA,host_internal
Host_associated,host_animal_endotherm,NA,NA,NA,NA,NA,NA,low,medium,low,NA,small,medium,host,NA,host_internal
Host_associated,host_animal_endotherm_oral,high,permanently wet,high,high,high,high,low,medium,low,NA,medium,medium,host,NA,oral
Host_associated,host_animal_endotherm_nasopharyngeal,NA,occasionally dry,medium,high,high,high,low,medium,low,NA,small,medium,host,NA,oral
Host_associated,host_animal_endotherm_vagina,high,permanently wet,high,high,high,high,low,medium,low,medium,small,low,host,NA,host_internal
Host_associated,host_animal_endotherm_blood,high,permanently wet,high,high,high,high,low,medium,low,medium,small,medium,host,NA,host_internal
Host_associated,host_animal_endotherm_rumen,high,permanently wet,high,low,high,low,low,medium,low,medium,small,low,host,NA,gut
Host_associated,host_animal_endotherm_intestinal,medium,permanently wet,high,high,high,medium,low,medium,low,medium,small,NA,host,NA,gut
Host_associated,host_animal_endotherm_intracellullar,high,permanently wet,NA,NA,high,NA,low,medium,low,medium,small,medium,host,NA,host_internal
Host_associated,host_animal_endotherm_surface,NA,occasionally wet,NA,NA,high,high,low,medium,high,NA,NA,NA,host,NA,NA
Host_associated,host_animal_endotherm_intratissue,high,permanently wet,high,NA,high,medium,low,low,low,medium,small,medium,host,NA,host_internal
Host_associated,host_animal_endotherm_feces,medium,NA,high,high,high,medium,low,medium,medium,medium,NA,medium,host,NA,NA
host_associated,host_plant,NA,NA,NA,high,NA,NA,low,NA,NA,NA,small,NA,host,NA,NA
Host_associated,host_plant_root-associated,NA,occasionally dry,NA,high,high,high,low,NA,medium,NA,small,NA,host,NA,NA
Host_associated,host_plant_leaf-associated,NA,NA,NA,high,NA,NA,low,NA,high,NA,small,medium,host,NA,NA
Host_associated,host_plant_vasculature,high,permanently wet,NA,high,NA,high,low,NA,medium,NA,small,medium,host,NA,host_internal
Host_associated,host_plant_rootnodule,high,permanently wet,high,high,high,high,low,NA,medium,NA,small,medium,host,NA,host_internal
Other,sludge,high,permanently wet,high,low,high,medium,NA,medium,medium,NA,NA,NA,NA,NA,NA
Other,sludge_acidic,high,permanently wet,high,low,high,medium,NA,medium,medium,NA,NA,low,NA,NA,NA
Other,biofilm,high,NA,high,high,high,medium,NA,NA,NA,NA,small,NA,NA,NA,NA
Other,biofilm_marine,high,permanently wet,high,high,high,medium,NA,NA,NA,high,small,high,NA,NA,NA
Other,biofilm_fresh,high,permanently wet,high,high,high,medium,NA,NA,NA,low,small,NA,NA,NA,NA
Other,built_environment_surfaces,low,occasionally wet,low,high,low,medium,low,NA,NA,low,small,NA,NA,NA,NA
Other,bioreactor/digester,high,permanently wet,high,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other,compost,medium,occasionally dry,high,high,high,medium,low,NA,medium,low,small,low,NA,NA,NA
Other,food,NA,NA,high,NA,high,NA,low,medium,NA,NA,small,NA,NA,NA,NA
Other,milk,high,permanently wet,high,low,high,low,low,medium,medium,low,small,medium,NA,NA,NA
Other,petroleum,low,NA,low,low,high,low,NA,NA,NA,low,small,NA,NA,NA,NA
Other,petroleum_biofilm,low,NA,low,high,high,medium,NA,NA,NA,low,small,NA,NA,NA,NA
Other,hypersaline,low,permanently wet,NA,NA,low,NA,NA,NA,NA,high,small,NA,NA,NA,NA
Other,wastewater,high,permanently wet,high,NA,NA,NA,low,medium,NA,NA,NA,NA,NA,NA,NA
Other,unclassified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
